velocity,mean,rms,std,zero crossing rate,peak velocity,low peak velocity,crest factor,low crest factor
-0.122,0.015705263157894736,0.12532064138798021,0.1865745725862291,0.09473684210526316,0.303,-0.397,2.4177980310677007,-3.1678739879005855
-0.068,0.01625,0.12747548783981963,0.18589126526009767,0.09375,0.303,-0.397,2.37692755787479,-3.114324225994362
-0.05,0.0165979381443299,0.1288329854669599,0.18511495568126704,0.09278350515463918,0.303,-0.397,2.351882158918893,-3.0815089672963714
-0.05,0.016938775510204084,0.13014905113063285,0.18435322966015752,0.09183673469387756,0.303,-0.397,2.328099954381332,-3.0503487851134947
-0.056,0.017333333333333336,0.13165611772087668,0.18364029398734247,0.09090909090909091,0.303,-0.397,2.301450211697632,-3.0154314654916172
-0.062,0.017780000000000004,0.1333416664062663,0.18297820963163894,0.09,0.303,-0.397,2.2723579820640425,-2.9773139236944717
-0.08,0.0183960396039604,0.13563200066341424,0.18245312770525599,0.0891089108910891,0.303,-0.397,2.2339860690540716,-2.9270378528530245
-0.121,0.019401960784313728,0.13929092139947144,0.18229190233960707,0.08823529411764706,0.303,-0.397,2.175303292962134,-2.8501498590956014
-0.063,0.019825242718446604,0.14080214031912514,0.18167835220288991,0.08737864077669903,0.303,-0.397,2.1519559242015553,-2.8195594122376817
0.038,0.019269230769230768,0.13881365483709002,0.18069216851682757,0.09615384615384616,0.303,-0.397,2.1827823808514877,-2.8599491920727416
0.082,0.018304761904761904,0.13529509194631528,0.1797349174318048,0.09523809523809523,0.303,-0.397,2.239549089631644,-2.934326694995917
0.073,0.017443396226415095,0.1320734501192995,0.17879390261404765,0.09433962264150944,0.303,-0.397,2.2941779723805635,-3.0059031519309696
0.068,0.016644859813084112,0.1290149596484226,0.17787238116451276,0.09345794392523364,0.303,-0.397,2.3485648550036546,-3.0771625327935674
0.087,0.015685185185185184,0.12524050936172842,0.17700376934444056,0.09259259259259259,0.303,-0.397,2.4193449990278637,-3.1699008733137357
0.114,0.014495412844036696,0.12039689715286145,0.17624181305419717,0.09174311926605505,0.303,-0.397,2.5166761533338957,-3.297427171199857
0.112,0.013345454545454544,0.11552252830272779,0.1755064718262337,0.09090909090909091,0.303,-0.397,2.6228650329222876,-3.4365591355450436
0.074,0.012558558558558556,0.11206497471805611,0.17469406699733994,0.09009009009009009,0.303,-0.397,2.7037885901667016,-3.542587690746471
0.048,0.012017857142857146,0.10962598753423909,0.17386910376011874,0.08928571428571429,0.303,-0.397,2.7639431745631033,-3.6214040934044625
0.022,0.011716814159292039,0.10824423383853773,0.17305958833198057,0.08849557522123894,0.303,-0.397,2.79922531903149,-3.66763185364852
-0.069,0.012219298245614038,0.11054093470571903,0.17253510823425824,0.09649122807017543,0.303,-0.397,2.741066020534778,-3.5914297364762606
-0.207,0.013913043478260872,0.11795356492391772,0.17325930826856412,0.09565217391304348,0.303,-0.397,2.568807481108695,-3.3657312541259143
-0.182,0.015362068965517244,0.12394381374444327,0.17371765689270083,0.09482758620689655,0.303,-0.397,2.444656097356729,-3.2030642595730083
-0.154,0.016547008547008548,0.12863517616503095,0.17390249320303314,0.09401709401709402,0.303,-0.397,2.3554987759434463,-3.086247571120621
-0.13,0.01750847457627119,0.13231959256387993,0.17387984175285445,0.09322033898305085,0.303,-0.397,2.2899103158417047,-3.0003115359378114
-0.067,0.017924369747899162,0.1338819246496672,0.17340643087569962,0.09243697478991597,0.303,-0.397,2.2631882593028827,-2.965299468459553
