velocity,mean,rms,std,zero crossing rate,peak velocity,low peak velocity,crest factor,low crest factor
5.5,5.5,2.345207879911715,0.0,0.0,5.5,5.5,2.345207879911715,2.345207879911715
1.75,3.625,1.9039432764659772,1.875,0.0,5.5,1.75,2.888741522913896,0.9191450300180578
-0.25,2.3333333333333335,1.5275252316519468,2.383391607679182,0.3333333333333333,5.5,-0.25,3.600595188893874,-0.16366341767699427
0.0,1.75,1.3228756555322954,2.2980970388562794,0.5,5.5,-0.25,4.157609203101499,-0.1889822365046136
0.5,1.5,1.224744871391589,2.115419580130618,0.6,5.5,-0.25,4.4907311951024935,-0.20412414523193154
-3.0,0.75,0.8660254037844386,2.5576682088704676,0.6666666666666666,5.5,-3.0,6.3508529610858835,-3.464101615137755
-6.75,0.32142857142857145,0.5669467095138409,3.592793239988369,0.5714285714285714,5.5,-6.75,9.701088140570166,-11.905880899790658
-8.5,1.34375,1.159202311936963,5.04694756139788,0.5,5.5,-8.5,4.74464202095129,-7.3326285778338125
-3.5,1.5833333333333333,1.2583057392117916,5.1680105779045515,0.4444444444444444,5.5,-8.5,4.370956778314644,-6.755115021031724
0.0,1.425,1.1937336386313322,4.833283045715406,0.5,5.5,-8.5,4.60739299120865,-7.1205164409588235
2.75,1.0454545454545454,1.02247471629109,4.434556263731282,0.5454545454545454,5.5,-8.5,5.379106116140084,-8.313163997671039
2.75,0.7291666666666666,0.8539125638299665,4.152841647595054,0.5,5.5,-8.5,6.440940481460319,-9.954180744075039
1.5,0.5576923076923077,0.7467879938056768,3.9437614580334115,0.46153846153846156,5.5,-8.5,7.364874697531849,-11.382079078003766
1.25,0.42857142857142855,0.6546536707079771,3.7733964022036255,0.42857142857142855,5.5,-8.5,8.401388774085708,-12.983964469041547
3.75,0.15,0.3872983346207417,3.712142238654117,0.4,5.5,-8.5,14.200938936093861,-21.946905628508695
5.75,0.21875,0.46770717334674267,3.856685550767654,0.375,5.75,-8.5,12.294017127971522,-18.173764450044857
13.0,0.9705882352941176,0.985184366143778,4.800338800038567,0.35294117647058826,13.0,-8.5,13.19549969198636,-8.62782672168339
5.0,1.1944444444444444,1.092906420717,4.755519859679115,0.3333333333333333,13.0,-8.5,11.894888485943165,-7.777427086962838
6.5,1.4736842105263157,1.2139539573337679,4.777892301804785,0.3157894736842105,13.0,-8.5,10.708808123622882,-7.001913003907269
6.5,1.725,1.3133925536563698,4.784022888741232,0.3,13.0,-8.5,9.898030839149452,-6.471789394828488
5.75,1.9166666666666667,1.3844373104863459,4.746761636289106,0.2857142857142857,13.0,-8.5,9.390096540689997,-6.139678507374229
5.5,2.0795454545454546,1.4420629162923004,4.6973072337174075,0.2727272727272727,13.0,-8.5,9.014863258133289,-5.894333668779458
1.5,2.0543478260869565,1.4332996288588638,4.595577104401064,0.2608695652173913,13.0,-8.5,9.06998072018625,-5.930372009352547
-0.5,1.9479166666666667,1.3956778520370188,4.5276805864653875,0.2916666666666667,13.0,-8.5,9.314470370813902,-6.090230627070628
-1.75,1.8,1.3416407864998738,4.494997219131509,0.28,13.0,-8.5,9.689627902499089,-6.335525936249404
-2.75,1.625,1.2747548783981961,4.493718907028411,0.2692307692307692,13.0,-8.5,10.19803902718557,-6.667948594698258
-1.75,1.5,1.224744871391589,4.45554170128076,0.25925925925925924,13.0,-8.5,10.61445555206044,-6.940220937885672
-1.25,1.4017857142857142,1.1839703181607697,4.404917749817023,0.25,13.0,-8.5,10.980004988803062,-7.179234031140464
-0.75,1.3275862068965518,1.1522092721795603,4.346076038476955,0.2413793103448276,13.0,-8.5,11.282672613290757,-7.3771320933054945
-0.25,1.275,1.1291589790636214,4.282401000996209,0.23333333333333334,13.0,-8.5,11.51299351202124,-7.5277265270908105
-1.25,1.1935483870967742,1.0924964014113612,4.2363203360456785,0.22580645161290322,13.0,-8.5,11.899352696453477,-7.780345993834965
-1.25,1.1171875,1.0569709078304852,4.191222401023805,0.21875,13.0,-8.5,12.299297836572919,-8.041848585451524
0.0,1.0833333333333333,1.0408329997330663,4.131671220064233,0.24242424242424243,13.0,-8.5,12.489995996796797,-8.166535844059444
-2.25,0.9852941176470589,0.9926198253344827,4.109235105075995,0.2647058823529412,13.0,-8.5,13.096655605905712,-8.563197896169118
0.0,0.9571428571428572,0.9783367810436533,4.05343140097979,0.2857142857142857,13.0,-8.5,13.287857772383948,-8.688214697327965
1.25,0.9652777777777778,0.982485510212633,3.9970270105216334,0.3055555555555556,13.0,-8.5,13.231747303007547,-8.651527082735704
-5.25,0.7972972972972973,0.8929150560368535,4.069430299890683,0.32432432432432434,13.0,-8.5,14.559055659448358,-9.519382546562388
7.25,0.9671052631578947,0.9834151021607787,4.146245548302031,0.34210526315789475,13.0,-8.5,13.219239740610195,-8.643349061168204
5.25,1.0769230769230769,1.0377490433255416,4.148352254809163,0.3333333333333333,13.0,-8.5,12.52711345157261,-8.190804949105168
7.25,1.23125,1.1096170510586074,4.208023400303283,0.325,13.0,-8.5,11.715753635542656,-7.660300454008659
4.75,1.3170731707317074,1.147638083514009,4.191681799912681,0.3170731707317073,13.0,-8.5,11.327612935425309,-7.406516150085779
2.75,1.3511904761904763,1.1624071903556328,4.147237865869255,0.30952380952380953,13.0,-8.5,11.183688562716748,-7.312411752545566
2.5,1.377906976744186,1.173842824548579,4.102385895775567,0.3023255813953488,13.0,-8.5,11.074736521901361,-7.2411738797047365
1.0,1.3693181818181819,1.1701786965323637,4.055891000489441,0.29545454545454547,13.0,-8.5,11.109414347162026,-7.263847842375171
1.25,1.3666666666666667,1.1690451944500122,4.010610926031095,0.28888888888888886,13.0,-8.5,11.120185995987919,-7.270890843530562
0.0,1.3369565217391304,1.1562683606062782,3.9717813709945324,0.30434782608695654,13.0,-8.5,11.243064709635032,-7.35123461783829
-0.5,1.297872340425532,1.1392420025725578,3.9382326396657374,0.3191489361702128,13.0,-8.5,11.411096124128408,-7.461101311930113
-9.5,1.0729166666666667,1.0358169078880044,4.191061400137467,0.3125,13.0,-9.5,12.550480592662423,-9.171505048484079
-2.0,1.010204081632653,1.0050890913907349,4.170767799816161,0.30612244897959184,13.0,-9.5,12.934176792240367,-9.45189842509873
-0.75,0.975,0.9874208829065749,4.136196924712362,0.3,13.0,-9.5,13.165611772087667,-9.621023987294834
-2.0,0.9166666666666666,0.9574271077563381,4.116164532367036,0.29411764705882354,13.0,-9.5,13.57805716454443,-9.922426389474778
-0.75,0.8846153846153846,0.9405399431259602,4.082815045801714,0.28846153846153844,13.0,-9.5,13.821847859851069,-10.100581128352704
-1.25,0.8443396226415094,0.918879547406247,4.054529965747821,0.2830188679245283,13.0,-9.5,14.147664986880542,-10.338678259643473
-1.25,0.8055555555555556,0.8975274678557507,4.026724000082388,0.2777777777777778,13.0,-9.5,14.484236377810046,-10.584634276091956
